1,Nguyen Huu Vu,09/06/1999,Male,201739833,0971262523,nh.nghia@outlook.com,Diamond,Da Nang,null
2,David Beckham,09/05/1997,Male,201739833,0971262523,nh.nghia@outlook.com,Diamond,Da Nang,null
3,Nguyen Nghia,09/06/1997,Male,201739833,0971262523,nh.nghia@outlook.com,Diamond,Da Nang,null
4,Lionel Messi,11/11/1990,a,a,a,a,a,a,null
5,Bill Gates,22/12/2009,Male,123456789,0123456789,bill.gates@gmail.com,Diamond,Washington,null
6,Nguyen Huu Nghia,11/11/2000,Unknown,123456789,0123456789,nh.nghia@gmail.com.vn,Vip,Da,null
7,Cristiano Ronaldo,11/11/1990,Female,123456789,0123456789,nghia@yahoo.com,Diamond,Da Nang,null
8,Nguyen Van Nghia,11/11/1995,Unknown,123456789,0123456789,nh.nghia@gmail.com.vn,Vip,Da,null
9,Kenvin De Bruyne,11/11/1992,Male,123456789,0123456789,ken.vin@gmail.com,Vip,Hai Duong,null
10,Mohamed Salah,11/11/1988,Female,123456789,0123456789,la@gmail.com,Gold,Ai Cap,null
